dataset,train_samples,sequence_length,num_classes,linear_conv_0_8_gaussian_fpe,linear_conv_1_sinc_fpe,linear_conv_2_sinc_fpe,linear_conv_5_sinc_fpe,linear_conv_learnable_random_pe,linear_conv_learnable_sinusoidal,linear_conv_random_pe,linear_conv_sinusoidal,linear_no_pe
ArticularyWordRecognition,220,144,25,0.9500 ± 0.0043,0.9370 ± 0.0098,0.9515 ± 0.0093,0.9504 ± 0.0072,0.9373 ± 0.0104,0.9553 ± 0.0130,0.9304 ± 0.0075,0.9611 ± 0.0048,0.9260 ± 0.0094
AtrialFibrillation,12,640,3,0.3200 ± 0.0628,0.3267 ± 0.0417,0.2600 ± 0.0352,0.3167 ± 0.0394,0.2933 ± 0.0461,0.2600 ± 0.0474,0.3250 ± 0.0357,0.3067 ± 0.0402,0.2667 ± 0.0503
BasicMotions,32,100,4,0.9475 ± 0.0390,0.9650 ± 0.0360,0.9500 ± 0.0358,0.9725 ± 0.0178,0.8688 ± 0.0471,0.9750 ± 0.0158,0.8833 ± 0.0430,0.9778 ± 0.0203,0.9472 ± 0.0339
Cricket,86,1197,12,0.9111 ± 0.0304,0.9236 ± 0.0183,0.8694 ± 0.0392,0.9070 ± 0.0210,0.9147 ± 0.0116,0.9014 ± 0.0245,0.9087 ± 0.0068,0.9167 ± 0.0239,0.9292 ± 0.0201
DuckDuckGeese,40,270,5,0.3220 ± 0.0779,0.3489 ± 0.0499,0.3956 ± 0.0390,0.2480 ± 0.0767,0.3340 ± 0.0775,0.3360 ± 0.0667,0.2560 ± 0.0415,0.4314 ± 0.0099,0.4500 ± 0.0268
ERing,24,65,6,0.8424 ± 0.0169,0.8309 ± 0.0376,0.8167 ± 0.0241,0.8389 ± 0.0346,0.8441 ± 0.0363,0.8852 ± 0.0244,0.8383 ± 0.0171,0.8744 ± 0.0199,0.6626 ± 0.0267
Epilepsy,109,206,4,0.8478 ± 0.0127,0.8485 ± 0.0235,0.8471 ± 0.0196,0.8478 ± 0.0140,0.7225 ± 0.0221,0.8138 ± 0.0194,0.7782 ± 0.0319,0.8454 ± 0.0165,0.8362 ± 0.0242
EthanolConcentration,208,1751,4,0.2631 ± 0.0112,0.2551 ± 0.0089,0.2494 ± 0.0081,0.2649 ± 0.0096,0.2620 ± 0.0161,0.2624 ± 0.0190,0.2586 ± 0.0168,0.2620 ± 0.0137,0.2373 ± 0.0151
FaceDetection,4712,62,2,0.6302 ± 0.0023,0.6054 ± 0.0041,0.6289 ± 0.0040,0.6670 ± 0.0038,0.6542 ± 0.0064,0.6624 ± 0.0045,0.6337 ± 0.0060,0.6567 ± 0.0043,0.5374 ± 0.0038
FingerMovements,252,50,2,0.4980 ± 0.0316,0.5067 ± 0.0149,0.5160 ± 0.0332,0.5040 ± 0.0339,0.5138 ± 0.0077,0.5090 ± 0.0295,0.4980 ± 0.0276,0.5000 ± 0.0386,0.5129 ± 0.0128
HandMovementDirection,128,400,4,0.3946 ± 0.0415,0.4054 ± 0.0270,0.4446 ± 0.0297,0.5766 ± 0.0201,0.4865 ± 0.0474,0.4527 ± 0.0303,0.3797 ± 0.0548,0.4730 ± 0.0270,0.2703 ± 0.0648
Handwriting,120,152,26,0.1284 ± 0.0148,0.1354 ± 0.0200,0.1351 ± 0.0295,0.1632 ± 0.0305,0.1385 ± 0.0153,0.1511 ± 0.0250,0.0942 ± 0.0243,0.1567 ± 0.0138,0.0989 ± 0.0093
Heartbeat,163,405,2,0.7478 ± 0.0087,0.7419 ± 0.0081,0.7453 ± 0.0099,0.7312 ± 0.0161,0.7220 ± 0.0000,0.7312 ± 0.0092,0.7322 ± 0.0107,0.7385 ± 0.0133,0.7327 ± 0.0150
InsectWingbeat,20000,22,10,0.6130 ± 0.0028,0.6132 ± 0.0021,0.6141 ± 0.0023,0.5997 ± 0.0048,0.5901 ± 0.0046,0.6058 ± 0.0032,0.5787 ± 0.0031,0.6133 ± 0.0014,0.5759 ± 0.0049
LSST,1967,36,14,0.5974 ± 0.0035,0.6002 ± 0.0080,0.5912 ± 0.0060,0.5539 ± 0.0053,0.5107 ± 0.0062,0.5808 ± 0.0095,0.4886 ± 0.0062,0.5985 ± 0.0063,0.5770 ± 0.0071
Libras,144,45,15,0.6456 ± 0.0328,0.6639 ± 0.0224,0.6294 ± 0.0284,0.6111 ± 0.0300,0.5922 ± 0.0258,0.6484 ± 0.0110,0.5589 ± 0.0282,0.6265 ± 0.0200,0.4321 ± 0.0341
MotorImagery,222,3000,2,0.4856 ± 0.0383,0.4970 ± 0.0402,0.5170 ± 0.0296,0.5110 ± 0.0407,0.4810 ± 0.0244,0.5500 ± 0.0234,0.4790 ± 0.0301,0.5090 ± 0.0297,0.4990 ± 0.0495
NATOPS,144,51,6,0.8717 ± 0.0291,0.8827 ± 0.0275,0.8411 ± 0.0282,0.8327 ± 0.0142,0.8535 ± 0.0143,0.8967 ± 0.0182,0.8234 ± 0.0324,0.8617 ± 0.0304,0.7118 ± 0.0115
PEMS-SF,213,144,7,0.7231 ± 0.0122,0.7289 ± 0.0255,0.7208 ± 0.0215,0.7630 ± 0.0223,0.7214 ± 0.0283,0.7352 ± 0.0258,0.7104 ± 0.0298,0.7376 ± 0.0163,0.5757 ± 0.0439
PenDigits,5995,8,10,0.9615 ± 0.0021,0.9606 ± 0.0016,0.9625 ± 0.0025,0.9599 ± 0.0026,0.9582 ± 0.0019,0.9592 ± 0.0021,0.9586 ± 0.0031,0.9556 ± 0.0052,0.7445 ± 0.0072
PhonemeSpectra,2652,217,39,0.0712 ± 0.0021,0.0722 ± 0.0021,0.0705 ± 0.0023,0.0715 ± 0.0030,0.0614 ± 0.0036,0.0680 ± 0.0027,0.0570 ± 0.0016,0.0654 ± 0.0034,0.0537 ± 0.0022
RacketSports,120,30,4,0.8428 ± 0.0169,0.8355 ± 0.0196,0.8461 ± 0.0188,0.8368 ± 0.0108,0.8217 ± 0.0145,0.8316 ± 0.0166,0.7947 ± 0.0202,0.8329 ± 0.0185,0.7980 ± 0.0250
SelfRegulationSCP1,214,896,2,0.7870 ± 0.0257,0.8013 ± 0.0145,0.8260 ± 0.0179,0.7876 ± 0.0188,0.7649 ± 0.0141,0.7857 ± 0.0194,0.7717 ± 0.0296,0.7973 ± 0.0142,0.7512 ± 0.0220
SelfRegulationSCP2,160,1152,2,0.5486 ± 0.0069,0.5327 ± 0.0118,0.5528 ± 0.0086,0.5544 ± 0.0142,0.4850 ± 0.0263,0.5211 ± 0.0182,0.4993 ± 0.0076,0.5361 ± 0.0176,0.5339 ± 0.0188
SpokenArabicDigits,5279,93,10,0.9762 ± 0.0029,0.9762 ± 0.0056,0.9819 ± 0.0032,0.9797 ± 0.0032,0.9796 ± 0.0028,0.9799 ± 0.0026,0.9746 ± 0.0019,0.9761 ± 0.0043,0.9121 ± 0.0079
StandWalkJump,9,2500,3,0.3481 ± 0.0342,0.3667 ± 0.0906,0.3037 ± 0.0683,0.3000 ± 0.0562,0.3500 ± 0.0258,0.3267 ± 0.0654,0.3533 ± 0.0230,0.2741 ± 0.0400,0.3250 ± 0.0357
UWaveGestureLibraryAll,716,945,8,0.8274 ± 0.0298,0.7911 ± 0.0196,0.8760 ± 0.0058,0.8946 ± 0.0073,0.8858 ± 0.0022,0.8843 ± 0.0052,0.8661 ± 0.0088,0.8911 ± 0.0041,0.1363 ± 0.0053
Average Test Accuracy,1627,540,9,0.6341,0.6347,0.6335,0.6415,0.6137,0.6381,0.6048,0.6421,0.561
